Name,Rating,Review,Tags
Inner Circle,4.03,Very good,Young Adult
A Time to Embrace,4.35,Very good,Christian Fiction
Take Two,4.23,Very good,Christian Fiction
Reliquary,4.01,Very good,Thriller
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,4.04,Very good,Economics-Finance
Black Sheep,4.05,Very good,Romance
Sylvester,4.11,Very good,Romance
Joe,4.18,Very good,Fiction
Asterix the Gaul,4.17,Very good,Sequential Art-Comics
When We Were Very Young,4.3,Very good,Poetry
The Aeronaut's Windlass,4.17,Very good,Fantasy
Blood Memory,4.13,Very good,Mystery
Spilling Open: The Art of Becoming Yourself,4.03,Very good,Art
Sex at Dawn: The Prehistoric Origins of Modern Sexuality,4.01,Very good,Nonfiction
Omerta,3.71,Very good,Fiction
The Elvenbane,3.95,Very good,Fantasy
Moscow 1812: Napoleon's Fatal March,4.3,Very good,History
A Week in Winter,3.83,Very good,Fiction
Seven Years to Sin,3.88,Very good,Romance
Silence,3.96,Very good,Romance
"All My Love, Detrick",4.04,Very good,Historical-Historical Fiction
Cycle of the Werewolf,3.65,Very good,Horror
Darkness,4.28,Very good,Fantasy-Paranormal
Ten Thousand Skies Above You,4.08,Very good,Young Adult
Liam: Midsummer's Magic Bonus Book,5.0,Excellent,---
Second Nature,3.81,Very good,Fiction
Disclaimer,3.59,Very good,Fiction
Justice Hall,4.21,Very good,Mystery
Dans le cafÃ© de la jeunesse perdue,3.51,Very good,Fiction
The Orchid Thief: A True Story of Beauty and Obsession,3.69,Very good,Nonfiction
Play of Passion,4.27,Very good,Romance-Paranormal Romance
Briar's Book,4.17,Very good,Fantasy
The Will of the Empress,4.18,Very good,Fantasy
Just Beyond the Clouds,4.3,Very good,Christian Fiction
Leven Thumps and the Whispered Secret,3.91,Very good,Fiction
The Boy Who Harnessed the Wind: Creating Currents of Electricity and Hope,4.11,Very good,Nonfiction
"This Way for the Gas, Ladies and Gentlemen",4.17,Very good,World War II-Holocaust
The Little Book,3.73,Very good,Fiction
Princess in Waiting,3.67,Very good,Young Adult
Burning For Revenge,4.19,Very good,Young Adult
An Inspector Calls,3.79,Very good,Plays
War,4.23,Very good,Nonfiction
The Moneychangers,3.88,Very good,Fiction
Lavinia,3.79,Very good,Historical-Historical Fiction
Der Seelenbrecher,4.1,Very good,Thriller
Zoo City,3.64,Very good,Fantasy
So Silver Bright,4.03,Very good,Fantasy
Tuesday,4.18,Very good,Childrens-Picture Books
Killing Lincoln: The Shocking Assassination that Changed America Forever,4.03,Very good,History
Through a Glass Darkly,3.96,Very good,Historical-Historical Fiction
Rock Springs,4.07,Very good,Short Stories
Firesong,4.03,Very good,Fantasy
The Diary of Frida Kahlo: An Intimate Self-Portrait,3.87,Very good,Art
Gideon the Cutpurse,3.72,Very good,Fantasy
Fair and Tender Ladies,4.17,Very good,Fiction
The Bride Finder,3.85,Very good,Romance
Dragon of Legend: Destiny: Fantasy Dragon Adventure,4.72,Excellent,Fantasy
Ambition,4.06,Very good,Young Adult
Code of the Clans,4.2,Very good,Fantasy
Love You to Death / High Stakes,4.26,Very good,Young Adult
The Last Days,3.53,Very good,Young Adult
The Descent,3.97,Very good,Horror
Pornografia,3.93,Very good,Fiction
The Daughters,3.89,Very good,Young Adult
The Fire Eternal,3.99,Very good,Fantasy
Black Order,4.14,Very good,Thriller
Hell's Heroes,4.28,Very good,Horror
Haunting Violet,3.9,Very good,Young Adult
Armageddon's Children,4.1,Very good,Fantasy
Catherine the Great: Portrait of a Woman,3.92,Very good,History
The Secret War,4.29,Very good,Fantasy
The Accidental Hero,4.19,Very good,Fantasy
Lead,4.3,Very good,Romance
The Universe in a Single Atom: The Convergence of Science and Spirituality,4.05,Very good,Nonfiction
Suffer the Little Children,3.79,Very good,Mystery
Grave Doubts / Heaven Sent,4.39,Very good,Young Adult
The Story of Lucy Gault,3.76,Very good,Fiction
Devil's Cub,4.21,Very good,Romance
The Mysterious Mr. Quin,3.72,Very good,Mystery
The Night Is for Hunting,4.16,Very good,Young Adult
Shadow Study,4.08,Very good,Fantasy
Nine's Legacy,4.18,Very good,Young Adult
Woman on the Run,3.98,Very good,Romance-Romantic Suspense
The Partner,3.92,Very good,Fiction
Communion: A True Story,3.49,Good,Nonfiction
The Liar's Key,4.25,Very good,Fantasy
Sylvester and the Magic Pebble,4.15,Very good,Childrens-Picture Books
Kleopatra,3.81,Very good,Historical-Historical Fiction
London Bridges,3.94,Very good,Mystery
Mao II,3.68,Very good,Fiction
Peachtree Road,3.91,Very good,Fiction
Whisper of Evil,4.23,Very good,Mystery
Carney's House Party,4.12,Very good,Classics
Duncton Wood,4.04,Very good,Fantasy
You Can't Go Home Again,4.04,Very good,Fiction
Party Princess,3.68,Very good,Young Adult
Small Steps: The Year I Got Polio,4.43,Very good,Nonfiction
The Immortal Hunter,4.22,Very good,Romance-Paranormal Romance
Tinker,4.07,Very good,Fantasy
The Akhenaten Adventure,3.77,Very good,Fantasy
You Know You Love Me,3.52,Very good,Young Adult
Hunted,3.98,Very good,Romance
Nobody's Hero,4.3,Very good,Erotica-BDSM
The Castafiore Emerald,3.94,Very good,Sequential Art-Comics
4:50 from Paddington,3.95,Very good,Mystery
The Little Lady Agency,3.75,Very good,Womens Fiction-Chick Lit
Revelation,4.12,Very good,Young Adult
The Spring of the Ram,4.4,Very good,Historical-Historical Fiction
The Pursuit of Love & Love in a Cold Climate,4.11,Very good,Fiction
Bitten by Cupid,4.12,Very good,Romance-Paranormal Romance
The Beautyful Ones Are Not Yet Born,3.9,Very good,Cultural-Africa
The Lady Elizabeth,3.98,Very good,Historical-Historical Fiction
The Thousandfold Thought,3.93,Very good,Fantasy
Tricked,4.25,Very good,Fantasy-Urban Fantasy
Be with Me,4.14,Very good,New Adult
Suffer the Children,3.91,Very good,Horror
Beauty and the Beast,3.68,Very good,Fantasy
The Gun Seller,3.68,Very good,Fiction
Visions of Sugar Plums,3.69,Very good,Mystery
The End of Infinity,4.43,Very good,Fantasy
The Day the Falls Stood Still,3.7,Very good,Historical-Historical Fiction
MILA 2.0,3.69,Very good,Young Adult
Wonder Boys,3.93,Very good,Fiction
The Night in Lisbon,4.27,Very good,Fiction
Getting to Yes: Negotiating Agreement Without Giving In,3.94,Very good,Business
The Story of the Lost Child,4.4,Very good,Fiction
The First Four Years,3.89,Very good,Historical-Historical Fiction
Sarah,3.88,Very good,Historical-Historical Fiction
The Kill Artist,4.01,Very good,Fiction
The Complete James Herriot,4.7,Excellent,Fiction
Hot Blooded,4.0,Very good,Mystery
The Splendor Falls,3.81,Very good,Young Adult
Ice Station Zebra,3.99,Very good,Fiction
Every Other Day,3.9,Very good,Young Adult
The Diviners,4.17,Very good,Fiction
The Interestings,3.58,Very good,Fiction
Six's Legacy,4.08,Very good,Young Adult
The Magnificent Ambersons,3.77,Very good,Fiction
Rights of Man,4.03,Very good,Philosophy
Need,4.09,Very good,Erotica-BDSM
Light,3.59,Very good,Science Fiction
The Sweetest Death: The Sweetest Kill Bonus Chapter,4.8,Excellent,---
The Penderwicks in Spring,4.42,Very good,Childrens-Middle Grade
Not Even a Hint: Guarding Your Heart Against Lust,4.03,Very good,Christian
Party Monster: A Fabulous But True Tale of Murder in Clubland,4.09,Very good,Nonfiction
Undead and Unemployed,3.93,Very good,Paranormal-Vampires
If You Take a Mouse to the Movies,4.17,Very good,Childrens-Picture Books
"Vampire Kisses: Blood Relatives, Vol. 1",4.02,Very good,Sequential Art-Manga
A Heart Revealed,4.29,Very good,Christian Fiction
The Lottie Project,3.73,Very good,Childrens
The Bell at Sealey Head,3.99,Very good,Fantasy
Penmarric,4.09,Very good,Historical-Historical Fiction
ÙÙÙÙØ§ÛÛ Ø´Ø¨Ø§ÙÙâÛ Ø§Ø±Ú©Ø³ØªØ± ÚÙØ¨ÙØ§,3.81,Very good,Novels
ÎÎ±ÏÏÎ¼Î­Î½Î± ÏÏÎ¼Î±ÏÎ±,4.36,Very good,Fiction
Flight Behavior,3.79,Very good,Fiction
Truth,4.14,Very good,Erotica-BDSM
The Last Vampire,3.92,Very good,Young Adult
"Dear Life, You Suck",3.75,Very good,Young Adult
The Last Convertible,4.23,Very good,Fiction
"Fruits Basket, Vol. 10",4.46,Very good,Sequential Art-Manga
Legacy,4.07,Very good,Young Adult
The Carpet People,3.72,Very good,Fantasy
The Flame Trees of Thika: Memories of an African Childhood,4.12,Very good,Cultural-Africa
Tanakh: The Holy Scriptures,4.38,Very good,Religion
Step on a Crack,4.02,Very good,Mystery
Shadow Man,4.14,Very good,Thriller
Entangled,4.26,Very good,New Adult
Nights of Rain and Stars,3.69,Very good,Fiction
"City of Darkness, City of Light",3.93,Very good,Historical-Historical Fiction
Kensuke's Kingdom,4.11,Very good,Fiction
Scrisoarea III ; LuceafÄrul,4.36,Very good,European Literature-Romanian Literature
Crooked House,4.05,Very good,Mystery
Embroideries,3.87,Very good,Sequential Art-Graphic Novels
Billy Lynn's Long Halftime Walk,3.8,Very good,Fiction
Night Over Water,3.82,Very good,Fiction
"Little Women, Little Men, Jo's Boys",4.34,Very good,Classics
Lit,3.92,Very good,Autobiography-Memoir
The Bad Place,3.9,Very good,Horror
Le Lys dans la vallÃ©e,3.69,Very good,Classics
Gentle Warrior,4.06,Very good,Romance-Historical Romance
Music for Chameleons,4.08,Very good,Short Stories
Lost Light,4.19,Very good,Mystery
Kill Shot,4.3,Very good,Fiction
With Everything I Am,4.29,Very good,Fantasy-Paranormal
Demigods & Magicians: Percy and Annabeth Meet the Kanes,4.34,Very good,Fantasy
The Marriage of Opposites,3.89,Very good,Historical-Historical Fiction
Amat,4.29,Very good,Asian Literature-Turkish Literature
Greenwitch,4.01,Very good,Fantasy
Sharp Teeth,3.88,Very good,Poetry
"The Book of Lost Tales, Part Two",3.86,Very good,Fantasy
Three Beloved Classics by E. B. White: Charlotte's Web/the Trumpet of the Swan/Stuart Little,4.21,Very good,Childrens
Loving Mr. Darcy: Journeys Beyond Pemberley,3.7,Very good,Romance
Much Ado About Anne,4.27,Very good,Realistic Fiction
Iron Lake,3.93,Very good,Mystery
"The Civil War, Vol. 1: Fort Sumter to Perryville",4.42,Very good,History
Tales From the Hood,4.3,Very good,Fantasy
à¦¶à¦à§à¦à§ à¦¸à¦®à¦à§à¦°,4.58,Excellent,Science Fiction
Key of Light,4.17,Very good,Romance
The Face of Another,3.77,Very good,Fiction
The Romanovs: The Final Chapter,4.04,Very good,History
This is Falling,4.02,Very good,New Adult
When My Name Was Keoko,4.11,Very good,Historical-Historical Fiction
Farewell to Manzanar: A True Story of Japanese American Experience During and After the World War II Internment,3.61,Very good,Nonfiction
Kissing Sin,4.07,Very good,Fantasy-Urban Fantasy
Havemercy,3.63,Very good,Fantasy
The Death of Artemio Cruz,3.86,Very good,Fiction
The Favored Child,3.62,Very good,Historical-Historical Fiction
Nobody's Princess,3.68,Very good,Historical-Historical Fiction
Dark Matter,3.96,Very good,Horror
You Are My Sunshine,4.11,Very good,Historical-Historical Fiction
Debt Inheritance,3.79,Very good,Dark
Biting Cold,4.15,Very good,Fantasy-Urban Fantasy
Game,4.22,Very good,Young Adult
Toby Alone,4.23,Very good,Novels
The Shadowy Horses,3.94,Very good,Historical-Historical Fiction
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,3.96,Very good,History
The Ice Princess,3.72,Very good,Mystery
Where's My Cow?,4.12,Very good,Fantasy
Judy Moody Gets Famous!,4.05,Very good,Childrens
Haunting Rachel,3.86,Very good,Mystery
The Burn Journals,3.85,Very good,Young Adult
The Children's Book,3.67,Very good,Fiction
Wolfsbane,4.08,Very good,Fantasy
Glow,3.52,Very good,Young Adult
"The History of Sexuality, Volume 2: The Use of Pleasure",4.07,Very good,Philosophy
The Vow,3.78,Very good,Nonfiction
How to Be a Pirate,4.08,Very good,Fantasy
Everyman,3.59,Very good,Fiction
Searching for Perfect,4.05,Very good,Romance
Better than Life,4.06,Very good,Science Fiction
Submerged,4.08,Very good,Christian Fiction
Twice-Told Tales,3.9,Very good,Classics
A Dance to the Music of Time: 2nd Movement,4.3,Very good,Fiction
The Well of Loneliness,3.68,Very good,LGBT
Searching for Caleb,3.89,Very good,Fiction
Generation Dead,3.59,Very good,Young Adult
You're the One That I Want,3.71,Very good,Young Adult
Caramelo,3.9,Very good,Fiction
The Principles of Uncertainty,4.04,Very good,Art
Scarlet Feather,3.96,Very good,Fiction
Ruby,3.94,Very good,Fiction
Bareback,3.97,Very good,Romance-M M Romance
The Eustace Diamonds,3.95,Very good,Classics
The Diplomat's Wife,3.94,Very good,Historical-Historical Fiction
Immortal in Death,4.28,Very good,Mystery
Crow's Row,4.07,Very good,Romance
Dark Legend,4.35,Very good,Romance-Paranormal Romance
Madness and Civilization: A History of Insanity in the Age of Reason,4.1,Very good,Philosophy
Rise,4.19,Very good,Fantasy
A Dance to the Music of Time: 3rd Movement,4.26,Very good,Fiction
Red Rackham's Treasure,4.27,Very good,Sequential Art-Comics
Golden Calf,4.45,Very good,Fiction
The Girl at Midnight,3.73,Very good,Fantasy
When He Was Wicked,4.03,Very good,Romance-Historical Romance
The Chemist,3.71,Very good,Fiction
The I Ching or Book of Changes,4.19,Very good,Philosophy
A Dance to the Music of Time: 4th Movement,4.22,Very good,Fiction
The Girl of His Dreams,3.78,Very good,Mystery
The Curious Case of Benjamin Button,3.55,Very good,Classics
The Mandarins,4.14,Very good,Fiction
The Spellman Files,3.88,Very good,Mystery
Three Tales,3.68,Very good,Fiction
Beggars in Spain,3.94,Very good,Science Fiction
"The Complete Peanuts, Vol. 5: 1959-1960",4.6,Excellent,Sequential Art-Comics
Berlin Noir: March Violets / The Pale Criminal / A German Requiem,4.22,Very good,Fiction
The Message Remix (Bible in Contemporary Language),4.46,Very good,Christian
Be More Chill,3.67,Very good,Young Adult
The Secret Art of Dr. Seuss,4.05,Very good,Art
Mirror Sight,3.82,Very good,Fantasy
Man's Fate,3.76,Very good,Fiction
The Mozart Conspiracy,3.89,Very good,Thriller
"Capital, Vol. 2: The Process of Circulation of Capital",4.06,Very good,Economics
All I Want is Everything,3.55,Very good,Young Adult
Dreaming Anastasia,3.47,Good,Young Adult
"14,000 Things to Be Happy About: The Happy Book",4.03,Very good,Nonfiction
The Shop on Blossom Street,4.05,Very good,Romance
The Garden of the Finzi-Continis,3.82,Very good,Fiction
Caribbean,3.93,Very good,Historical-Historical Fiction
"Nyx in the House of Night: Mythology, Folklore and Religion in the PC and Kristin Cast Vampyre Series",4.11,Very good,Paranormal-Vampires
Life Eternal,4.16,Very good,Young Adult
Green: The Beginning and the End,4.04,Very good,Fantasy
Warsaw Requiem,4.44,Very good,Historical-Historical Fiction
The Gate to Women's Country,4.05,Very good,Science Fiction
Life 3.0: Being Human in the Age of Artificial Intelligence,4.05,Very good,Science
The Cricket in Times Square,4.03,Very good,Childrens
Two Can Keep a Secret,3.98,Very good,Mystery
Happens Every Day: An All Too True Story,3.48,Good,Autobiography-Memoir
Leviathan,3.96,Very good,Fiction
Depraved Heart,3.62,Very good,Mystery
The Devil of Nanking,3.92,Very good,Thriller
